product_id,product_name,category,segment,size,color,price,cogs
1,BambooCraft UC-21,Streetwear,Everyday,L,orange,19529.37,16287.49
2,MekongFit UC-07,Streetwear,Everyday,M,purple,4409.37,3289.39
3,SaigonFlex UC-59,Streetwear,Everyday,L,white,42.91,24.5
4,HanoiStreet UM-36,Streetwear,Balanced,S,orange,9109.17,8653.71
5,SaigonFlex UC-97,Streetwear,Everyday,S,orange,4844.7,2618.08
6,SaigonFlex UM-13,Streetwear,Balanced,S,pink,16386.07,15566.76
7,VietMotion UC-07,Streetwear,Everyday,XL,yellow,5399.83,3136.76
8,VietMode RS-03,Outdoor,Premium,M,purple,3747.24,2006.27
9,VietMode RS-10,Outdoor,Premium,S,orange,3873.24,2666.34
10,MekongFit RS-06,Outdoor,Premium,L,pink,4700.35,4323.85
11,DragonWear RS-04,Outdoor,Premium,XL,black,4787.37,4096.55
12,HanoiStreet UR-05,Streetwear,Standard,XL,yellow,24.12,15.54
13,SaigonCore UE-28,Streetwear,Performance,M,blue,6713.7,3936.91
14,MekongFit UR-02,Streetwear,Standard,M,purple,4040.82,3302.97
15,VietMode RP-53,Outdoor,Activewear,M,black,4524.5,2532.36
16,HanoiStreet YY-10,GenZ,Trendy,M,yellow,1383.88,862.57
17,HanoiStreet RP-19,Outdoor,Activewear,XL,black,1763.37,1675.2
18,SaigonCore YY-55,GenZ,Trendy,S,red,2319.87,1394.47
19,UrbanVN RP-19,Outdoor,Activewear,S,white,36.39,20.03
20,PhoenixWear UE-15,Streetwear,Performance,L,orange,48.79,29.54
21,VietMode RP-37,Outdoor,Activewear,M,purple,70.3,44.84
22,SaigonFlex UE-09,Streetwear,Performance,M,black,6740.37,5806.83
23,HanoiStreet UC-56,Streetwear,Everyday,M,blue,4262.35,3732.12
24,MekongFit UM-01,Streetwear,Balanced,S,white,8199.46,7789.49
25,VietMode RP-17,Outdoor,Activewear,M,purple,3680.24,2233.54
26,VietMotion UR-09,Streetwear,Standard,L,green,34.43,21.06
27,SaigonCore YY-22,GenZ,Trendy,XL,silver,3026.87,1800.68
28,DragonWear UR-23,Streetwear,Standard,S,orange,27.27,15.97
29,UrbanVN UM-01,Streetwear,Balanced,L,white,7359.57,5306.25
30,DragonWear MA-07,Casual,All-weather,XL,silver,5307.0,3533.93
31,MekongFit UR-03,Streetwear,Standard,L,green,63.62,35.57
33,MekongFit UC-23,Streetwear,Everyday,M,black,9335.13,8663.0
34,PhoenixWear UE-03,Streetwear,Performance,L,red,5932.95,4969.43
35,VietMode MA-44,Casual,All-weather,S,pink,9126.56,6083.77
36,VietMode RS-17,Outdoor,Premium,XL,yellow,63.53,35.5
37,VietMode MA-35,Casual,All-weather,XL,yellow,6504.16,6178.95
38,VietMode RS-73,Outdoor,Premium,XL,purple,42.34,25.51
39,BambooCraft UC-23,Streetwear,Everyday,S,white,8222.53,5716.3
40,UrbanVN RP-24,Outdoor,Activewear,M,yellow,3728.77,2876.75
41,MekongFit RP-54,Outdoor,Activewear,S,pink,1920.87,1074.15
42,HanoiStreet UR-04,Streetwear,Standard,L,pink,46.57,26.69
43,NamStyle YY-23,GenZ,Trendy,S,orange,3086.37,2034.84
44,HanoiStreet UC-09,Streetwear,Everyday,L,green,8360.99,4980.64
45,LotusWear UE-98,Streetwear,Performance,M,silver,17.81,10.39
46,VietMode RP-34,Outdoor,Activewear,L,orange,5598.43,3566.2
47,VietMotion MA-16,Casual,All-weather,L,orange,3857.99,3393.11
48,DragonWear UR-15,Streetwear,Standard,S,white,5789.7,5500.21
49,UrbanVN UC-05,Streetwear,Everyday,L,red,6299.11,5095.98
50,MekongFit UR-06,Streetwear,Standard,M,yellow,440.37,418.35
51,VietMode MP-15,Casual,Activewear,XL,silver,5983.74,5684.55
52,VietMode RS-23,Outdoor,Premium,M,purple,5039.37,4674.52
53,UrbanVN UC-17,Streetwear,Everyday,L,orange,4066.09,3089.42
54,DragonWear UM-25,Streetwear,Balanced,L,pink,52.64,33.92
55,VietMode RP-50,Outdoor,Activewear,L,pink,4912.74,4573.27
56,VietMode RP-37,Outdoor,Activewear,M,purple,4695.1,2763.54
57,DragonWear UM-09,Streetwear,Balanced,L,orange,36.34,22.65
58,VietMode RP-25,Outdoor,Activewear,M,blue,4346.33,4129.01
59,LotusWear UE-05,Streetwear,Performance,S,white,31.05,18.38
60,HanoiStreet YY-12,GenZ,Trendy,XL,black,3527.37,2848.35
61,HanoiStreet UE-01,Streetwear,Performance,S,orange,20.52,12.13
62,MekongFit UE-18,Streetwear,Performance,L,orange,2220.57,2109.54
63,HanoiStreet MA-09,Casual,All-weather,L,orange,3720.71,3306.6
64,PhoenixWear UM-12,Streetwear,Balanced,M,black,7559.25,6029.26
65,VietMode RP-20,Outdoor,Activewear,S,pink,36.22,22.75
66,UrbanVN RP-50,Outdoor,Activewear,XL,purple,692.31,657.69
67,VietMotion UE-12,Streetwear,Performance,L,pink,18.44,10.16
68,VietMotion UE-23,Streetwear,Performance,M,yellow,27.99,17.25
69,DragonWear UM-20,Streetwear,Balanced,M,blue,12532.03,7611.96
70,DragonWear UM-06,Streetwear,Balanced,XL,yellow,36.61,20.81
71,HanoiStreet RS-08,Outdoor,Premium,S,white,1932.17,1751.32
72,VietMode RP-67,Outdoor,Activewear,XL,purple,33.86,21.33
73,HanoiStreet RP-60,Outdoor,Activewear,S,orange,,1835.4
74,SaigonCore UE-19,Streetwear,Performance,S,white,7238.7,5703.37
75,SaigonFlex UC-95,Streetwear,Everyday,L,red,6176.85,3866.09
76,VietMode MP-08,Casual,Activewear,S,red,5669.37,5385.9
77,DragonWear UM-35,Streetwear,Balanced,S,pink,11844.0,9063.03
78,MekongFit RP-39,Outdoor,Activewear,M,blue,711.03,525.02
